,0
0,57HE92
1,52HH39
2,57HJ36
3,52H147
4,58GW11
5,57HJ61
6,50H255
7,58H551
8,52HF79
9,58H924
10,58H830
11,57H947
12,52HJ68
13,57H434
14,52H146
15,57GASR
16,57HB79
17,50H265
18,58H870
19,52HK12
20,50H498
21,52HD76
22,57HG15
23,57HH63
24,50H325
25,58H748
26,57HB55
27,52H777
28,50H497
29,58H804
30,57H187
31,58GW32
32,57H737
33,52HJ94
34,50H308
35,58HC75
36,52HH91
37,52HK47
38,57GACS
39,57H840
40,52HD05
41,57HE18
42,57H735
43,50H373
44,57HB70
45,52H988
46,57HB20
47,58H377
48,52HJ87
49,58H559
50,57HC18
51,73503BB4
52,57H587
53,57HA05
54,57H248
55,58HC55
56,57HJ66
57,57HC71
58,58H528
59,52HM10
60,71205B98
61,52HL71
62,58H849
63,52HJ10
64,58GT03
65,52H789
66,58HC34
67,57HJ49
68,71201B98
69,57HB96
70,50H368
71,58H379
72,52HD42
73,52HH56
74,276040
75,57H691
76,57H311
77,58H367
78,58HA56
79,58H929
80,52H939
81,52H751
82,52HD48
83,58H882
84,58HA19
85,58HB53
86,57HD55
87,57H964
88,57HE40
89,57GATM
90,57H017
91,57H907
92,52HE93
93,57GAQH
94,58H440
95,58H236
96,57HC07
97,57H697
98,52H959
99,58HB32
100,50H278
101,52HE96
102,52HG96
103,71903B92
104,52HF85
105,52HJ42
106,57H523
107,52HG77
108,57H189
109,57HH95
110,52HM07
111,57H596
112,52HA08
113,58H990
114,57H824
115,57HH85
116,57H347
117,57HC17
118,57HB42
119,58H841
120,58H707
121,57HG45
122,52HC74
123,57H271
124,57H224
125,58H963
126,57H413
127,58H742
128,57HD63
129,58H135
130,52HJ63
131,57H608
132,57HF46
133,52HF48
134,50H235
135,58HC36
136,52GS06
137,57HB59
138,52H966
139,57HH65
140,57HD97
141,57H331
142,52HF43
143,57HH22
144,57H718
145,70101B9A
146,58HC60
147,58HA77
148,50H222
149,52HL69
150,57HD52
151,52HK52
152,58H989
153,58H946
154,57HD67
155,52HC31
156,50H227
157,52H940
158,57HE06
159,58H886
160,57H731
161,58H855
162,57HE53
163,50H420
164,52HF88
165,58H464
166,55G926
167,57HC54
168,52HD08
169,57GASA
170,52HE84
171,57H793
172,52HJ13
173,57H275
174,52H958
175,57H815
176,57HE25
177,58H775
178,58H726
179,57HE02
180,58HB40
181,58HB07
182,57HB65
183,58H975
184,58H776
185,52HD75
186,52HE21
187,58H518
188,57H738
189,57HD71
